,lon,lat
2148,13.7301877,45.548059
2149,14.3555417,46.2428344
2150,14.5057515,46.0569465
2151,15.6458812,46.5546503
2152,16.1610293,46.6581381
2153,13.6493044,45.9549755
2154,15.1710089,45.8010824
2155,15.0453138,46.1503563
2156,15.1106582,46.3622743
2157,14.9945975,46.1345186
2158,14.8703205,46.4862243
2159,27.9541894,-26.2445833
2160,29.9856157,-26.5123582
2161,27.8871784,-25.7477324
2162,28.0473051,-26.2041028
2163,25.017521,-31.506809
2164,30.6314948,-29.8039699
2165,27.8428651,-26.5768466
2166,29.1913918,-26.5157792
2167,28.2292712,-25.7478676
2168,27.9014654,-26.5969312
2169,28.299435,-23.9747849
2170,29.2553229,-25.8727817
2171,27.8692376,-26.8662267
2172,-3.0842199,43.3167276
2173,-15.4463485,27.9018327
2174,-2.148555,43.2368999
2175,-1.1173154,41.7689166
2176,-1.8585424,38.994349
2177,-0.3374829,39.7032393
2178,-3.3635421,40.4819791
2179,0.4767476,40.5430578
2180,-0.1335373,41.0510353
2181,-1.2193422,37.9695167
2182,-3.6372245,40.5372512
2183,-0.2139151,40.0746462
2184,-3.8278443,40.3468454
2185,-0.4810937,38.6987066
2186,-1.7502311,42.1772977
2187,-5.6546388,36.6585879
2188,-0.3671856,39.7807728
2189,-5.456233,36.1407591
2190,-3.5016452,40.5964617
2191,-0.4906855,38.3459963
2192,-0.0629989,39.9478425
2193,-6.5169753,37.2596578
2194,-0.4333643,39.1511854
2195,0.7996491,40.8839435
2196,-16.4214477,28.3385856
2197,-3.6902166,41.6692282
2198,-3.6040527,40.0305018
2199,-3.4479063,40.3064463
2200,-3.6254529,37.1439159
2201,-16.679977,28.0999496
2202,-2.4902081,43.0648865
2203,-13.5550363,28.9651694
2204,-2.2519623,42.434452
2205,-8.5102974,43.3038683
2206,-15.5210607,28.1201412
2207,-3.822281,43.3983734
2208,-3.466667,40.933333
2209,-4.6812086,40.656685
2210,-5.9246653,43.5579523
2211,-2.2667322,43.1825979
2212,-6.9706535,38.8794495
2213,2.2450325,41.4469883
2214,-6.8498411,38.5144198
2215,2.1734035,41.3850639
2216,-8.1854241,43.3511488
2217,-2.2003055,43.0457548
2218,NA,NA
2219,-0.1224937,38.5410566
2220,-2.9349852,43.2630126
2221,-17.7917046,28.6629785
2222,-17.7724671,28.6412969
2223,-0.1530097,41.497428
2224,-0.7901334,39.4203436
2225,2.7002508,39.6959651
2226,-3.696906,42.3439925
2227,-0.4135963,39.5096699
2228,-0.0848302,39.8895925
2229,-15.4217989,28.0087657
2230,3.2779723,42.2887571
2231,-0.2315018,40.9407849
2232,-3.8846224,43.4047027
2233,-8.3422786,43.2926146
2234,-3.1447155,41.2675296
2235,-16.3717183,28.3556768
2236,-6.5498404,43.1773837
2237,-1.8609152,38.1041892
2238,-6.7326972,42.5559174
2239,-0.9965839,37.6256827
2240,-0.0513246,39.9863563
2241,-3.2156354,43.3688221
2242,-1.280678,39.5582795
2243,-9.192,42.9576691
2244,-8.4722358,43.1896948
2245,-7.4103573,43.671212
2246,-8.2010285,43.1732498
2247,-3.9273778,38.9848295
2248,-4.0055605,40.6308775
2249,-3.7710457,40.6626481
2250,-6.5203088,42.6181348
2251,-4.0669902,43.2597761
2252,-8.4115401,43.3623436
2253,-3.5651646,40.4260459
2254,-5.6398802,42.7087418
2255,-1.876084,37.2922445
2256,-1.9812313,43.318334
2257,-9.1185278,43.0121815
2258,-2.6313339,43.1711864
2259,1.4205983,38.9067339
2260,-2.8103551,36.7731148
2261,-0.7125608,38.2699329
2262,-2.6185459,42.5149608
2263,-0.7964597,38.4765073
2264,-6.6237322,42.7673954
2265,-8.2193451,43.489646
2266,-3.8035477,40.2902056
2267,-2.2364844,42.3477796
2268,-0.1844671,38.968032
2269,-3.7323934,40.3082504
2270,-5.6611195,43.5322015
2271,-16.5768911,28.1222699
2272,-3.16017,40.632489
2273,-3.6952896,40.7860007
2274,-4.8474389,42.7890255
2275,-1.9768497,43.2657928
2276,-6.9447224,37.261421
2277,-0.4078058,42.131845
2278,-3.8489895,40.1262812
2279,-6.1260744,36.6850064
2280,-5.3494719,36.1682563
2281,-5.6960562,43.3081128
2282,-8.5844049,43.24827
2283,-3.7686545,40.3319506
2284,-5.5670959,42.5987263
2285,-4.7562159,43.4211483
2286,-2.9579897,43.1434506
2287,-2.4449852,42.4627195
2288,-1.6968357,37.6735925
2289,-7.5567582,43.0097384
2290,-3.7037902,40.4167754
2291,4.2596195,39.8873296
2292,-6.0520363,37.350923
2293,-3.8683123,40.4737586
2294,2.4447406,41.5381124
2295,-4.9154767,41.3081627
2296,-6.3408055,38.9191439
2297,-5.7785282,43.249719
2298,-2.945068,42.6869753
2299,-0.1015492,40.6181387
2300,-3.8676291,40.3232129
2301,-3.5180363,36.7489747
2302,-7.7259302,43.4663944
2303,-1.1306544,37.9922399
2304,-8.8882891,42.7842757
2305,-4.7999096,38.1327461
2306,-0.2625949,39.96513
2307,-8.4080662,43.0763738
2308,-3.2114207,40.2861
2309,-7.863881,42.3357893
2310,-7.6422864,43.5645691
2311,-5.8493887,43.3619145
2312,-4.5288016,42.0096857
2313,2.6501603,39.5696005
2314,-15.5474373,27.9202202
2315,-6.8954258,37.2288942
2316,-0.4431618,39.5037093
2317,-5.8676373,41.2837924
2318,-1.0411107,38.4035164
2319,-6.0838065,40.0420955
2320,3.0250778,39.7697384
2321,-8.657474,42.4341563
2322,3.0162026,39.8771939
2323,-6.598259,42.5499958
2324,-7.8522474,43.4526064
2325,-8.6446202,42.4298846
2326,-2.0689709,42.3334209
2327,-5.5577902,36.7882576
2328,-13.8628367,28.500821
2329,-6.1831947,36.5316485
2330,-4.1078877,38.6884458
2331,0.1616419,42.4728046
2332,-6.9704976,37.1852585
2333,-0.4448669,39.4825816
2334,-16.5841956,28.3854734
2335,-4.1392622,42.9995287
2336,-3.5357334,40.3519065
2337,-5.6273951,42.8012489
2338,-0.2784385,39.6798633
2339,-5.6635397,40.9701039
2340,-17.7991545,28.7842218
2341,-15.5730295,27.9249459
2342,0.3321829,40.5095107
2343,-4.4035034,40.3635617
2344,-5.6087488,43.2751294
2345,-4.3321114,39.5416294
2346,-5.3844317,36.2104615
2347,-1.2830851,42.5744349
2348,1.3015192,38.9826357
2349,2.0494619,41.38467
2350,2.0666616,41.383333
2351,-17.7645747,28.6839885
2352,-16.2518467,28.4636296
2353,-15.5401365,27.9101389
2354,1.658779,41.318858
2355,-3.8099803,43.4623057
2356,-8.5448445,42.8782132
2357,-0.1576913,41.7916307
2358,-7.654811,42.6470935
2359,-4.1088069,40.9429032
2360,-5.9844589,37.3890924
2361,-5.6608158,43.3915032
2362,-2.9325785,43.2871618
2363,-2.4790306,41.7665972
2364,-4.8304536,39.962884
2365,-13.5595989,29.0599533
2366,-15.4173726,27.9955313
2367,-1.1064345,40.3456879
2368,-4.2541657,43.154223
2369,-4.0273231,39.8628316
2370,-2.0750946,43.1347544
2371,-5.7796953,39.8974406
2372,0.7203205,41.3942541
2373,-3.4754967,40.4567552
2374,-4.0501505,43.3488503
2375,-3.0776568,42.8420421
2376,-3.6740182,40.1912403
2377,-0.3762881,39.4699075
2378,-4.7245321,41.652251
2379,-17.9150422,27.8097786
2380,0.9236691,40.9908991
2381,-4.4887385,41.9209323
2382,-8.7207268,42.2405989
2383,-7.6807717,43.2974899
2384,-4.3048305,40.2774375
2385,-4.8229031,42.7216533
2386,-0.8270193,39.7339808
2387,-3.275967,40.1681485
2388,-2.6817918,42.8591656
2389,-0.5979205,39.9219229
2390,-3.553772,37.2331735
2391,-7.5123498,43.6849554
2392,-6.4157225,38.4225303
2393,-5.7467879,41.5034712
2394,-0.8890853,41.6488226
2395,-1.0747782,39.0915312
2396,-0.1665442,40.7287627
2397,79.861243,6.9270786
2398,13.0744097,55.6345009
2399,11.97456,57.70887
2400,12.8577884,56.6743748
2401,20.2252821,67.8557995
2402,15.6213727,58.410807
2403,13.003822,55.604981
2404,16.192421,58.587745
2405,20.950917,64.750244
2406,17.625689,59.195363
2407,17.94148,59.43911
2408,18.0685808,59.3293235
2409,17.306927,62.390811
2410,13.1574231,55.3762427
2411,20.2630354,63.8258471
2412,20.2630354,63.8258471
2413,17.6389267,59.8585638
2414,16.5448091,59.6099005
2415,14.8058522,56.8790044
2416,13.8200308,55.4295051
2417,7.5885761,47.5595986
2418,7.4474468,46.9479739
2419,6.1431577,46.2043907
2420,6.6322734,46.5196535
2421,8.951052,46.0036778
2422,8.3093072,47.0501682
2423,9.3767173,47.4244818
2424,8.7236889,47.4988196
2425,8.541694,47.3768866
2426,100.5017651,13.7563309
2427,98.9931284,18.787747
2428,99.830955,19.9071656
2429,100.9846717,13.3611431
2430,102.8359921,16.4419355
2431,99.490874,18.2888404
2432,99.0087221,18.5744606
2433,97.9654368,19.3020296
2434,102.0977693,14.9798997
2435,100.1225595,15.6930072
2436,100.7730417,18.7756318
2437,101.8253143,6.4254607
2438,100.5143528,13.8621125
2439,100.5250276,14.0208391
2440,100.2023692,19.2154367
2441,100.5689599,14.3532128
2442,100.1402831,18.1445774
2443,98.3380884,7.9519331
2444,101.1473517,12.707434
2445,102.0645821,13.8240407
2446,100.5998319,13.5990961
2447,100.2743956,13.5475216
2448,100.9101421,14.5289154
2449,100.614347,7.1756004
2450,99.3217483,9.1382389
2451,101.2803947,6.541147
2452,21.3292164,41.0296773
2453,21.4279956,41.9973462
2454,20.9715269,42.0069115
2455,21.7722966,41.7164563
2456,9.8627243,37.2746124
2457,10.766163,34.7478469
2458,10.608395,35.825603
2459,10.1815316,36.8064948
2460,35.3308285,36.9914194
2461,38.2772592,37.76365
2462,30.5387038,38.7568852
2463,43.050591,39.719074
2464,34.0297,38.368626
2465,35.837347,40.656455
2466,32.8597419,39.9333635
2467,30.7133233,36.8968908
2468,42.70228,41.11295
2469,41.820819,41.180937
2470,27.8455601,37.8380162
2471,27.8903423,39.6532976
2472,32.333811,41.637602
2473,41.1292832,37.8895167
2474,40.228048,40.26032
2475,29.97933,40.142573
2476,40.496625,38.885464
2477,42.109502,38.400569
2478,31.608209,40.732541
2479,30.282333,37.718336
2480,29.0609636,40.1885281
2481,26.408587,40.14672
2482,33.616223,40.600207
2483,34.9537242,40.5499256
2484,29.0963328,37.7830159
2485,40.2109826,37.9249733
2486,31.162609,40.83872
2487,26.5557145,41.6771297
2488,39.222515,38.674816
2489,39.491124,39.746797
2490,41.2658236,39.9054993
2491,30.5256311,39.7667061
2492,37.37811,37.065953
2493,38.392653,40.917532
2494,39.480321,40.460825
2495,43.736782,37.577427
2496,36.1613221,36.2022842
2497,33.617577,36.6321731
2498,44.0436151,39.9200596
2499,30.553705,37.7626487
2500,28.9783589,41.0082376
2501,27.142826,38.423734
2502,36.9228223,37.5752755
2503,32.622654,41.19562
2504,33.222243,37.181009
2505,43.0974525,40.6013378
2506,33.776497,41.376625
2507,35.482597,38.720489
2508,37.114661,36.716477
2509,33.5088782,39.8397835
2510,27.224369,41.735472
2511,34.1594989,39.146078
2512,29.8815203,40.8532704
2513,32.4931554,37.8746429
2514,29.985732,39.4199547
2515,38.3335247,38.3553627
2516,27.4295624,38.6140337
