region,region,classification,country,city,pm10,pm25
Amr LMI,Amr,LMI,Brazil,"Volta Redonda, REGIÃO DO MÉDIO PARAÍBA",33,14
Eur LMI,Eur,LMI,Bulgaria,BLAGOEVGRAD,38.66682584,27.61037224
Eur LMI,Eur,LMI,Bulgaria,Burgas,35.73641383,25.51788689
Eur LMI,Eur,LMI,Bulgaria,Devnia,27.15225895,19.38829889
Eur LMI,Eur,LMI,Bulgaria,Dimitrovgad,59.1522063,42.23813047
Eur LMI,Eur,LMI,Bulgaria,Dolny Voden,53.68421052,38.33366208
Eur LMI,Eur,LMI,Bulgaria,Galabovo,35.59972602,25.42028381
Eur LMI,Eur,LMI,Bulgaria,GORNA ORIAHOVICA,43.12816438,30.79602855
Eur LMI,Eur,LMI,Bulgaria,HASKOVO,46.19222551,32.98394717
Eur LMI,Eur,LMI,Bulgaria,Kardjaly,39.7567919,28.38867167
Eur LMI,Eur,LMI,Bulgaria,LOVECH,38.90894736,27.78326114
Eur LMI,Eur,LMI,Bulgaria,MONTANA,52.46147308,37.46055613
Eur LMI,Eur,LMI,Bulgaria,Pazarjik,45.81488764,32.71450589
Eur LMI,Eur,LMI,Bulgaria,Pernik,46.70822827,31.26187845
Eur LMI,Eur,LMI,Bulgaria,Pirdop,35.87238372,25.61497733
Eur LMI,Eur,LMI,Bulgaria,Pleven,41.66486206,29.75114522
Eur LMI,Eur,LMI,Bulgaria,Plovdiv,59.06525674,34.40207612
Eur LMI,Eur,LMI,Bulgaria,Ruse,46.90315068,33.49158927
Eur LMI,Eur,LMI,Bulgaria,Shumen,38.0927826,27.20047183
Eur LMI,Eur,LMI,Bulgaria,SLIVEN,39.4269146,28.15312001
Eur LMI,Eur,LMI,Bulgaria,Smolian,43.13951566,30.80413402
Eur LMI,Eur,LMI,Bulgaria,Sofia,43.38724483,21.8637792
Eur LMI,Eur,LMI,Bulgaria,Stara Zagora,41.88771604,13.19619178
Eur LMI,Eur,LMI,Bulgaria,Varna,51.04669421,36.45032138
Eur LMI,Eur,LMI,Bulgaria,Veliko Tarnovo,40.07241379,25.84707602
Eur LMI,Eur,LMI,Bulgaria,Vratza,38.87390581,27.75823943
Afr,Afr,,Cameroon,Bafoussam,105,67
Afr,Afr,,Cameroon,Bamenda,141,132
Afr,Afr,,Cameroon,Yaoudé,65,49
Amr HI,Amr,HI,Canada,ABBOTSFORD,12,7
Amr HI,Amr,HI,Canada,AUCLAIR,5.252607191,3
Amr HI,Amr,HI,Canada,AYLESFORD,8.754345319,5
Amr HI,Amr,HI,Canada,BARRIE,12.25608345,7
Amr HI,Amr,HI,Canada,BATHURST,12.25608345,7
Amr HI,Amr,HI,Canada,BEAVERLODGE,14.00695251,8
Amr HI,Amr,HI,Canada,BELLEVILLE,12.25608345,7
Amr HI,Amr,HI,Canada,BRAMPTON,14.00695251,8
Amr HI,Amr,HI,Canada,BRANDON,14,6
